project;repo_file_path_reduced;refs_count
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/model/ModelFacade.java;433
google/j2objc;/google_j2objc/jre_emul/android/libcore/luni/src/main/java/java/util/DualPivotQuicksort.java;201
google/j2objc;/google_j2objc/jre_emul/android/libcore/luni/src/main/java/java/util/Arrays.java;135
google/j2objc;/google_j2objc/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/DualPivotQuicksort.java;134
square/okhttp;/square_okhttp/src/test/java/com/squareup/okhttp/internal/net/http/URLConnectionTest.java;132
apache/ant;/apache_ant/src/main/org/apache/tools/ant/DirectoryScanner.java;131
apache/ant;/apache_ant/src/main/org/apache/tools/ant/Project.java;125
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/engine/Engine.java;124
apache/ant;/apache_ant/proposal/sandbox/selectors/src/main/org/apache/tools/ant/DirectoryScanner.java;120
elastic/elasticsearch;/elastic_elasticsearch/src/test/java/org/elasticsearch/index/query/SimpleIndexQueryParserTests.java;120
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/mlt/MoreLikeThisRequest.java;110
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/IOSAllTypes.java;110
spring-projects/spring-boot;/spring-projects_spring-boot/spring-boot-test/src/test/java/org/springframework/boot/test/json/JsonContentAssertTests.java;110
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/update/UpdateRequest.java;109
square/okhttp;/square_okhttp/src/test/java/com/squareup/okhttp/internal/net/http/HttpResponseCacheTest.java;103
google/j2objc;/google_j2objc/translator/src/main/java/com/google/devtools/j2objc/util/NameTable.java;102
spring-projects/spring-framework;/spring-projects_spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelReproTests.java;102
spring-projects/spring-framework;/spring-projects_spring-framework/spring-core/src/test/java/org/springframework/util/ObjectUtilsTests.java;101
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/RealmQueryTest.java;94
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/model/uml/CoreHelperImpl.java;85
elastic/elasticsearch;/elastic_elasticsearch/core/src/main/java/org/elasticsearch/index/query/AbstractQueryBuilder.java;85
realm/realm-java;/realm_realm-java/realm/realm-annotations-processor/src/test/resources/io/realm/NullTypesRealmProxy.java;84
realm/realm-java;/realm_realm-java/realm/realm-annotations-processor/src/test/resources/some/test/NullTypes.java;84
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/index/IndexRequest.java;83
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/search/SearchRequest.java;80
PhilJay/MPAndroidChart;/PhilJay_MPAndroidChart/MPChartLib/src/com/github/mikephil/charting/charts/Chart.java;80
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/uml/diagram/ui/FigEdgeModelElement.java;79
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java;78
apache/ant;/apache_ant/src/main/org/apache/tools/bzip2/CBZip2OutputStream.java;78
realm/realm-java;/realm_realm-java/realm/src/main/java/io/realm/Realm.java;78
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/Zip.java;77
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/AllJavaTypes.java;77
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/DogPrimaryKey.java;77
diegocedrim/xerces;/diegocedrim_xerces/src/org/apache/xerces/validators/schema/TraverseSchema.java;76
spring-projects/spring-framework;/spring-projects_spring-framework/spring-beans/src/test/java/org/springframework/beans/AbstractConfigurablePropertyAccessorTests.java;74
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/Cat.java;72
PhilJay/MPAndroidChart;/PhilJay_MPAndroidChart/MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java;70
spring-projects/spring-framework;/spring-projects_spring-framework/spring-beans/src/test/java/org/springframework/beans/BeanWrapperTests.java;70
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/Property.java;69
apache/ant;/apache_ant/src/main/org/apache/tools/ant/util/FileUtils.java;69
spring-projects/spring-framework;/spring-projects_spring-framework/spring-web/src/test/java/org/springframework/web/client/RestTemplateTests.java;69
Netflix/Hystrix;/Netflix_Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java;68
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/Dog.java;67
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/AnnotationIndexTypes.java;66
alibaba/dubbo;/alibaba_dubbo/dubbo-common/src/main/java/com/alibaba/dubbo/common/URL.java;65
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/RangeQueryBuilder.java;65
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MoreLikeThisQueryBuilder.java;64
prestodb/presto;/prestodb_presto/presto-main/src/main/java/com/facebook/presto/execution/SqlStageExecution.java;63
apache/ant;/apache_ant/proposal/antfarm/core/org/apache/tools/ant/Project.java;61
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/uml/diagram/ui/FigGraphEdge.java;61
diegocedrim/argouml;/diegocedrim_argouml/modules/cpp/src/org/argouml/language/cpp/generator/GeneratorCpp.java;60
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/jsr166e/ConcurrentHashMapV8.java;60
elastic/elasticsearch;/elastic_elasticsearch/src/test/java/org/elasticsearch/test/ElasticsearchIntegrationTest.java;60
diegocedrim/xerces;/diegocedrim_xerces/src/org/apache/xerces/validators/datatype/AbstractDatatypeValidator.java;59
PhilJay/MPAndroidChart;/PhilJay_MPAndroidChart/MPChartLib/src/com/github/mikephil/charting/data/DataSet.java;59
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/admin/indices/create/CreateIndexRequest.java;58
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MoreLikeThisQueryParser.java;58
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TermsQueryBuilder.java;58
spring-projects/spring-framework;/spring-projects_spring-framework/org.springframework.core/src/main/java/org/springframework/core/convert/support/GenericConversionService.java;58
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java;57
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/uml/generator/ParserDisplay.java;57
prestodb/presto;/prestodb_presto/presto-main/src/main/java/com/facebook/presto/metadata/FunctionRegistry.java;57
spring-projects/spring-framework;/spring-projects_spring-framework/org.springframework.core/src/test/java/org/springframework/core/convert/service/GenericConversionServiceTests.java;57
spring-projects/spring-framework;/spring-projects_spring-framework/spring-core/src/main/java/org/springframework/core/annotation/AnnotatedElementUtils.java;57
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/CommonTermsQueryParser.java;56
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/IndicesQueryParser.java;55
PhilJay/MPAndroidChart;/PhilJay_MPAndroidChart/MPChartLib/src/com/github/mikephil/charting/data/BaseDataSet.java;55
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/Javadoc.java;54
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/model/uml/Uml.java;54
diegocedrim/xerces;/diegocedrim_xerces/src/org/apache/xerces/impl/xs/XMLSchemaValidator.java;54
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NullTypes.java;54
spring-projects/spring-boot;/spring-projects_spring-boot/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java;54
apache/ant;/apache_ant/proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/Property.java;53
apache/ant;/apache_ant/proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/Property.java;53
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/HasParentQueryParser.java;53
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MultiMatchQueryBuilder.java;53
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MultiMatchQueryParser.java;53
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TemplateQueryParser.java;53
apache/ant;/apache_ant/proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java;52
apache/ant;/apache_ant/proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/CommonTermsQueryBuilder.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FuzzyQueryBuilder.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoShapeQueryBuilder.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/PrefixQueryBuilder.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/QueryFilterBuilder.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/ScriptQueryBuilder.java;52
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/WildcardQueryBuilder.java;52
spring-projects/spring-framework;/spring-projects_spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/DispatcherServletTests.java;52
apache/ant;/apache_ant/src/main/org/apache/tools/ant/Task.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/percolate/PercolateRequest.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/AndQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/BoolQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/BoolQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/BoostingQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/BoostingQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/DisMaxQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/DisMaxQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/ExistsQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FieldMaskingSpanQueryBuilder.java;51
