n_versions,name
68,orhanobut/logger
129,google/iosched
230,AndroidBootstrap/android-bootstrap
265,square/leakcanary
601,facebook/facebook-android-sdk
696,square/dagger
710,Netflix/SimianArmy
744,facebook/fresco
1349,square/retrofit
1737,PhilJay/MPAndroidChart
1836,alibaba/dubbo
1847,Netflix/Hystrix
2113,junit-team/junit4
2645,square/okhttp
2823,google/j2objc
5456,diegocedrim/xerces
5916,realm/realm-java
8056,prestodb/presto
8529,spring-projects/spring-boot
12974,spring-projects/spring-framework
13331,apache/ant
17654,diegocedrim/argouml
23597,elastic/elasticsearch
