ref_id;parameters;type_id;ref_type;project;final_commit;commit_text;version_order;class_id_bavota;classification;issue_url;issue_id
1;"(u""com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.checkWheatherDestoried"", u""com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker.checkWhetherDestroyed"", u""com.alibaba.dubbo.rpc.cluster.support.AbstractClusterInvoker"")";37;Rename method;alibaba/dubbo;7115f2fe96f604586e4224fbcb77e62482090924;fix typo of method (#248);1833;3;Neutral;https://api.github.com/repos/alibaba/dubbo/issues/248;248
292157;"(u""scopePhases"", u""org.elasticsearch.index.query.xcontent.QueryParseContext"", u""org.elasticsearch.search.internal.SearchContext"")";24;Move field;elastic/elasticsearch;e639ffbc935b00b3d017931022548382676f92bf;Search: Allow to use has_child filter in facets, closes #730.;1960;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/730;730
292235;"(u""org.elasticsearch.action.admin.indices.refresh.RefreshRequest.waitForOperations"", u""org.elasticsearch.action.admin.indices.refresh.RefreshRequest.force"", u""org.elasticsearch.action.admin.indices.refresh.RefreshRequest"")";37;Rename method;elastic/elasticsearch;8b295b53d0ec023e3a71448bf33050f60c00f123;Improve refresh logic when replica move to started closes #3573;5978;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/3573;3573
292237;"(u""org.elasticsearch.action.admin.indices.refresh.ShardRefreshRequest.waitForOperations"", u""org.elasticsearch.action.admin.indices.refresh.ShardRefreshRequest.force"", u""org.elasticsearch.action.admin.indices.refresh.ShardRefreshRequest"")";37;Rename method;elastic/elasticsearch;8b295b53d0ec023e3a71448bf33050f60c00f123;Improve refresh logic when replica move to started closes #3573;5978;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/3573;3573
292457;"(u""org.elasticsearch.index.similarity.SimilarityTests.testResolveSimilaritiesFromMapping_default"", u""org.elasticsearch.index.similarity.SimilarityTests.testResolveSimilaritiesFromMapping_classic"", u""org.elasticsearch.index.similarity.SimilarityTests"")";37;Rename method;elastic/elasticsearch;81fd2169cf9f394c7be2a853caae5a54c0c75b18;"Renames ""default"" similarity into ""classic"". Replaces deprecated DefaultSimilarity by ClassicSimilarity. Fixes #15102";18521;2;Negative;https://api.github.com/repos/elastic/elasticsearch/issues/15102;15102
292494;"(u""org.elasticsearch.common.io.stream.AdapterStreamOutput.reset"", u""org.elasticsearch.common.io.stream.AdapterStreamOutput.setOut"", u""org.elasticsearch.common.io.stream.AdapterStreamOutput"")";37;Rename method;elastic/elasticsearch;57023c8ba93a5c43793c4e109e1c020d00eebc80;Compression: Support snappy as a compression option, closes #2081.;3909;1;Positive;https://api.github.com/repos/elastic/elasticsearch/issues/2081;2081
292501;"(u""org.elasticsearch.test.integration.search.suggest.CustomSuggester.execute"", u""org.elasticsearch.test.integration.search.suggest.CustomSuggester.innerExecute"", u""org.elasticsearch.test.integration.search.suggest.CustomSuggester"")";37;Rename method;elastic/elasticsearch;ac06722e32d7a92d029ffaabe8b0e0e2436ae5cb;Suggest should ignore empty shards From #3469. When running suggest on empty shards, it raises an error like:;5881;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/3469;3469
292502;"(u""org.elasticsearch.search.suggest.completion.CompletionSuggester.execute"", u""org.elasticsearch.search.suggest.completion.CompletionSuggester.innerExecute"", u""org.elasticsearch.search.suggest.completion.CompletionSuggester"")";37;Rename method;elastic/elasticsearch;ac06722e32d7a92d029ffaabe8b0e0e2436ae5cb;Suggest should ignore empty shards From #3469. When running suggest on empty shards, it raises an error like:;5881;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/3469;3469
292503;"(u""org.elasticsearch.search.suggest.phrase.PhraseSuggester.execute"", u""org.elasticsearch.search.suggest.phrase.PhraseSuggester.innerExecute"", u""org.elasticsearch.search.suggest.phrase.PhraseSuggester"")";37;Rename method;elastic/elasticsearch;ac06722e32d7a92d029ffaabe8b0e0e2436ae5cb;Suggest should ignore empty shards From #3469. When running suggest on empty shards, it raises an error like:;5881;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/3469;3469
292504;"(u""org.elasticsearch.search.suggest.term.TermSuggester.execute"", u""org.elasticsearch.search.suggest.term.TermSuggester.innerExecute"", u""org.elasticsearch.search.suggest.term.TermSuggester"")";37;Rename method;elastic/elasticsearch;ac06722e32d7a92d029ffaabe8b0e0e2436ae5cb;Suggest should ignore empty shards From #3469. When running suggest on empty shards, it raises an error like:;5881;3;Neutral;https://api.github.com/repos/elastic/elasticsearch/issues/3469;3469
