project,name,total_refactorings,smelly,re_refactored,in_agglomeration,in_agglomeration_and_re_refactored
alibaba/dubbo,"Extract interface",2,2,0,2,0
alibaba/dubbo,"Extract method",94,93,93,89,88
alibaba/dubbo,"Extract superclass",6,4,1,2,1
alibaba/dubbo,"Inline method",20,20,20,20,20
alibaba/dubbo,"Move field",55,53,53,12,11
alibaba/dubbo,"Move method",8,8,4,8,4
alibaba/dubbo,"Pull up field",5,5,2,5,2
alibaba/dubbo,"Pull up method",12,12,4,12,4
alibaba/dubbo,"Push down field",0,0,0,0,0
alibaba/dubbo,"Push down method",1,1,0,1,0
alibaba/dubbo,"Rename method",78,57,0,46,0
AndroidBootstrap/android-bootstrap,"Extract interface",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Extract method",4,3,1,0,0
AndroidBootstrap/android-bootstrap,"Extract superclass",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Inline method",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Move field",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Move method",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Pull up field",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Pull up method",2,0,0,0,0
AndroidBootstrap/android-bootstrap,"Push down field",3,3,0,3,0
AndroidBootstrap/android-bootstrap,"Push down method",0,0,0,0,0
AndroidBootstrap/android-bootstrap,"Rename method",0,0,0,0,0
apache/ant,"Extract interface",12,10,8,5,2
apache/ant,"Extract method",952,925,951,830,830
apache/ant,"Extract superclass",28,22,14,7,6
apache/ant,"Inline method",140,139,140,135,135
apache/ant,"Move field",292,237,238,208,180
apache/ant,"Move method",98,85,74,67,56
apache/ant,"Pull up field",72,23,64,23,15
apache/ant,"Pull up method",36,31,20,28,14
apache/ant,"Push down field",2,2,1,1,1
apache/ant,"Push down method",2,2,1,1,1
apache/ant,"Rename method",407,218,0,66,0
diegocedrim/argouml,"Extract interface",17,17,7,11,6
diegocedrim/argouml,"Extract method",1105,1079,1104,1075,1074
diegocedrim/argouml,"Extract superclass",11,9,4,7,3
diegocedrim/argouml,"Inline method",64,64,64,63,63
diegocedrim/argouml,"Move field",233,220,199,183,163
diegocedrim/argouml,"Move method",317,290,214,284,197
diegocedrim/argouml,"Pull up field",100,99,33,100,33
diegocedrim/argouml,"Pull up method",167,153,77,126,73
diegocedrim/argouml,"Push down field",4,4,2,1,1
diegocedrim/argouml,"Push down method",28,26,20,25,20
diegocedrim/argouml,"Rename method",543,364,0,347,0
diegocedrim/xerces,"Extract interface",5,5,1,5,1
diegocedrim/xerces,"Extract method",364,364,360,357,353
diegocedrim/xerces,"Extract superclass",6,5,2,4,2
diegocedrim/xerces,"Inline method",73,73,73,73,73
diegocedrim/xerces,"Move field",91,88,65,86,63
diegocedrim/xerces,"Move method",35,32,26,32,23
diegocedrim/xerces,"Pull up field",68,67,57,56,48
diegocedrim/xerces,"Pull up method",15,15,8,11,6
diegocedrim/xerces,"Push down field",5,5,5,5,5
diegocedrim/xerces,"Push down method",4,4,2,4,2
diegocedrim/xerces,"Rename method",188,73,0,135,0
elastic/elasticsearch,"Extract interface",24,24,8,8,3
elastic/elasticsearch,"Extract method",1255,1241,1254,1035,1034
elastic/elasticsearch,"Extract superclass",75,69,24,25,14
elastic/elasticsearch,"Inline method",381,318,381,263,263
elastic/elasticsearch,"Move field",3067,2630,2883,891,796
elastic/elasticsearch,"Move method",393,363,245,249,160
elastic/elasticsearch,"Pull up field",107,105,51,39,35
elastic/elasticsearch,"Pull up method",81,79,49,54,42
elastic/elasticsearch,"Push down field",34,26,13,20,7
elastic/elasticsearch,"Push down method",28,25,10,18,5
elastic/elasticsearch,"Rename method",4063,2375,0,570,0
facebook/facebook-android-sdk,"Extract interface",3,3,1,0,0
facebook/facebook-android-sdk,"Extract method",146,142,142,122,118
facebook/facebook-android-sdk,"Extract superclass",5,5,1,0,0
facebook/facebook-android-sdk,"Inline method",20,19,20,16,16
facebook/facebook-android-sdk,"Move field",58,52,39,33,21
facebook/facebook-android-sdk,"Move method",17,11,10,10,6
facebook/facebook-android-sdk,"Pull up field",2,0,0,0,0
facebook/facebook-android-sdk,"Pull up method",3,1,1,1,1
facebook/facebook-android-sdk,"Push down field",1,1,0,1,0
facebook/facebook-android-sdk,"Push down method",1,1,0,1,0
facebook/facebook-android-sdk,"Rename method",86,55,0,35,0
facebook/fresco,"Extract interface",1,1,0,1,0
facebook/fresco,"Extract method",52,51,49,49,46
facebook/fresco,"Extract superclass",3,2,0,1,0
facebook/fresco,"Inline method",4,4,4,4,4
facebook/fresco,"Move field",8,8,5,8,5
facebook/fresco,"Move method",4,4,1,4,1
facebook/fresco,"Pull up field",2,2,0,2,0
facebook/fresco,"Pull up method",9,3,0,3,0
facebook/fresco,"Push down field",0,0,0,0,0
facebook/fresco,"Push down method",0,0,0,0,0
facebook/fresco,"Rename method",79,45,0,15,0
google/iosched,"Extract interface",0,0,0,0,0
google/iosched,"Extract method",24,21,21,19,16
google/iosched,"Extract superclass",0,0,0,0,0
google/iosched,"Inline method",13,13,13,13,13
google/iosched,"Move field",9,6,0,6,0
google/iosched,"Move method",11,11,4,10,4
google/iosched,"Pull up field",0,0,0,0,0
google/iosched,"Pull up method",1,1,0,1,0
google/iosched,"Push down field",0,0,0,0,0
google/iosched,"Push down method",0,0,0,0,0
google/iosched,"Rename method",16,10,0,6,0
google/j2objc,"Extract interface",3,3,0,1,0
google/j2objc,"Extract method",361,361,359,351,349
google/j2objc,"Extract superclass",8,8,3,7,3
google/j2objc,"Inline method",112,112,112,111,111
google/j2objc,"Move field",28,28,21,27,20
google/j2objc,"Move method",90,88,76,86,73
google/j2objc,"Pull up field",5,5,2,5,2
google/j2objc,"Pull up method",12,12,11,12,11
google/j2objc,"Push down field",9,8,2,3,1
google/j2objc,"Push down method",5,4,3,4,3
google/j2objc,"Rename method",81,64,0,40,0
junit-team/junit4,"Extract interface",4,4,1,3,1
junit-team/junit4,"Extract method",95,87,95,57,57
junit-team/junit4,"Extract superclass",7,7,3,2,0
junit-team/junit4,"Inline method",28,26,27,20,19
junit-team/junit4,"Move field",1,1,1,0,0
junit-team/junit4,"Move method",28,15,16,14,13
junit-team/junit4,"Pull up field",0,0,0,0,0
junit-team/junit4,"Pull up method",11,11,11,11,11
junit-team/junit4,"Push down field",0,0,0,0,0
junit-team/junit4,"Push down method",1,1,1,1,1
junit-team/junit4,"Rename method",135,96,0,25,0
Netflix/Hystrix,"Extract interface",2,2,0,0,0
Netflix/Hystrix,"Extract method",58,57,57,54,53
Netflix/Hystrix,"Extract superclass",18,18,12,7,6
Netflix/Hystrix,"Inline method",1,1,1,1,1
Netflix/Hystrix,"Move field",9,9,0,7,0
Netflix/Hystrix,"Move method",9,8,1,7,1
Netflix/Hystrix,"Pull up field",2,2,0,2,0
Netflix/Hystrix,"Pull up method",3,3,0,3,0
Netflix/Hystrix,"Push down field",2,2,2,0,0
Netflix/Hystrix,"Push down method",2,2,2,0,0
Netflix/Hystrix,"Rename method",161,98,0,114,0
Netflix/SimianArmy,"Extract interface",0,0,0,0,0
Netflix/SimianArmy,"Extract method",33,32,32,28,27
Netflix/SimianArmy,"Extract superclass",1,0,1,1,1
Netflix/SimianArmy,"Inline method",1,1,1,0,0
Netflix/SimianArmy,"Move field",3,0,3,0,0
Netflix/SimianArmy,"Move method",1,0,0,1,0
Netflix/SimianArmy,"Pull up field",0,0,0,0,0
Netflix/SimianArmy,"Pull up method",0,0,0,0,0
Netflix/SimianArmy,"Push down field",0,0,0,0,0
Netflix/SimianArmy,"Push down method",0,0,0,0,0
Netflix/SimianArmy,"Rename method",17,8,0,5,0
orhanobut/logger,"Extract interface",0,0,0,0,0
orhanobut/logger,"Extract method",11,6,8,1,1
orhanobut/logger,"Extract superclass",0,0,0,0,0
orhanobut/logger,"Inline method",1,1,1,1,1
orhanobut/logger,"Move field",1,0,0,0,0
orhanobut/logger,"Move method",0,0,0,0,0
orhanobut/logger,"Pull up field",0,0,0,0,0
orhanobut/logger,"Pull up method",0,0,0,0,0
orhanobut/logger,"Push down field",0,0,0,0,0
orhanobut/logger,"Push down method",0,0,0,0,0
orhanobut/logger,"Rename method",8,8,0,0,0
PhilJay/MPAndroidChart,"Extract interface",5,5,1,3,1
PhilJay/MPAndroidChart,"Extract method",46,44,45,42,41
PhilJay/MPAndroidChart,"Extract superclass",5,5,4,4,4
PhilJay/MPAndroidChart,"Inline method",8,8,8,8,8
PhilJay/MPAndroidChart,"Move field",34,31,29,33,28
PhilJay/MPAndroidChart,"Move method",32,26,25,30,23
PhilJay/MPAndroidChart,"Pull up field",52,52,33,52,33
PhilJay/MPAndroidChart,"Pull up method",94,94,77,94,77
PhilJay/MPAndroidChart,"Push down field",7,7,7,7,7
PhilJay/MPAndroidChart,"Push down method",24,24,23,24,23
PhilJay/MPAndroidChart,"Rename method",92,45,0,68,0
prestodb/presto,"Extract interface",19,19,7,7,3
prestodb/presto,"Extract method",782,757,780,674,672
prestodb/presto,"Extract superclass",32,30,11,18,6
prestodb/presto,"Inline method",126,123,126,114,114
prestodb/presto,"Move field",154,117,84,118,65
prestodb/presto,"Move method",167,131,95,113,72
prestodb/presto,"Pull up field",7,7,0,4,0
prestodb/presto,"Pull up method",25,25,13,21,13
prestodb/presto,"Push down field",1,1,1,1,1
prestodb/presto,"Push down method",6,4,3,2,2
prestodb/presto,"Rename method",750,397,0,219,0
realm/realm-java,"Extract interface",2,1,1,1,0
realm/realm-java,"Extract method",416,147,415,130,129
realm/realm-java,"Extract superclass",12,11,3,5,1
realm/realm-java,"Inline method",199,37,199,9,9
realm/realm-java,"Move field",26,26,21,9,7
realm/realm-java,"Move method",19,16,11,12,6
realm/realm-java,"Pull up field",0,0,0,0,0
realm/realm-java,"Pull up method",15,15,7,15,7
realm/realm-java,"Push down field",4,2,0,4,0
realm/realm-java,"Push down method",1,1,1,1,1
realm/realm-java,"Rename method",1006,775,0,555,0
spring-projects/spring-boot,"Extract interface",11,11,3,0,0
spring-projects/spring-boot,"Extract method",523,485,523,332,332
spring-projects/spring-boot,"Extract superclass",49,42,11,2,1
spring-projects/spring-boot,"Inline method",48,42,47,27,26
spring-projects/spring-boot,"Move field",38,8,11,4,1
spring-projects/spring-boot,"Move method",39,13,15,6,3
spring-projects/spring-boot,"Pull up field",6,6,3,2,0
spring-projects/spring-boot,"Pull up method",16,16,8,11,5
spring-projects/spring-boot,"Push down field",0,0,0,0,0
spring-projects/spring-boot,"Push down method",4,4,2,3,1
spring-projects/spring-boot,"Rename method",653,271,0,58,0
spring-projects/spring-framework,"Extract interface",22,20,4,7,1
spring-projects/spring-framework,"Extract method",944,932,943,787,787
spring-projects/spring-framework,"Extract superclass",75,54,21,19,6
spring-projects/spring-framework,"Inline method",219,210,219,182,182
spring-projects/spring-framework,"Move field",186,118,130,91,68
spring-projects/spring-framework,"Move method",89,64,46,54,30
spring-projects/spring-framework,"Pull up field",37,35,14,33,11
spring-projects/spring-framework,"Pull up method",123,117,15,111,11
spring-projects/spring-framework,"Push down field",4,2,2,2,2
spring-projects/spring-framework,"Push down method",6,3,2,2,0
spring-projects/spring-framework,"Rename method",3631,2764,0,909,0
square/dagger,"Extract interface",0,0,0,0,0
square/dagger,"Extract method",45,45,44,22,21
square/dagger,"Extract superclass",1,1,0,0,0
square/dagger,"Inline method",6,6,6,4,4
square/dagger,"Move field",0,0,0,0,0
square/dagger,"Move method",2,1,1,0,0
square/dagger,"Pull up field",0,0,0,0,0
square/dagger,"Pull up method",0,0,0,0,0
square/dagger,"Push down field",0,0,0,0,0
square/dagger,"Push down method",0,0,0,0,0
square/dagger,"Rename method",43,37,0,15,0
square/leakcanary,"Extract interface",0,0,0,0,0
square/leakcanary,"Extract method",7,6,6,6,6
square/leakcanary,"Extract superclass",0,0,0,0,0
square/leakcanary,"Inline method",1,1,1,0,0
square/leakcanary,"Move field",2,0,0,0,0
square/leakcanary,"Move method",0,0,0,0,0
square/leakcanary,"Pull up field",0,0,0,0,0
square/leakcanary,"Pull up method",0,0,0,0,0
square/leakcanary,"Push down field",0,0,0,0,0
square/leakcanary,"Push down method",0,0,0,0,0
square/leakcanary,"Rename method",3,3,0,2,0
square/okhttp,"Extract interface",0,0,0,0,0
square/okhttp,"Extract method",171,165,171,111,111
square/okhttp,"Extract superclass",0,0,0,0,0
square/okhttp,"Inline method",43,41,42,31,30
square/okhttp,"Move field",58,53,32,26,21
square/okhttp,"Move method",36,35,21,11,7
square/okhttp,"Pull up field",0,0,0,0,0
square/okhttp,"Pull up method",3,0,0,0,0
square/okhttp,"Push down field",2,1,0,1,0
square/okhttp,"Push down method",0,0,0,0,0
square/okhttp,"Rename method",543,341,0,191,0
square/retrofit,"Extract interface",1,1,0,0,0
square/retrofit,"Extract method",29,29,29,22,22
square/retrofit,"Extract superclass",0,0,0,0,0
square/retrofit,"Inline method",20,20,19,15,15
square/retrofit,"Move field",3,1,0,1,0
square/retrofit,"Move method",9,6,3,2,1
square/retrofit,"Pull up field",0,0,0,0,0
square/retrofit,"Pull up method",1,0,0,0,0
square/retrofit,"Push down field",0,0,0,0,0
square/retrofit,"Push down method",1,1,0,1,0
square/retrofit,"Rename method",169,115,0,35,0
