kind;element;ClassLinesOfCode;IsAbstract;LCOM2;LCOM3;NumberOfAccessorMethods;OverrideRatio;PublicFieldCount;TightClassCohesion;WeighOfClass;WeightedMethodCount;smells_count;smells
public class;br.com.meyer.App;87,0;0,0;1,0;2,0;0,0;None;0,0;0,0;1,0;12,0;2;ComplexClass,LongMethod
public class;br.com.meyer.controller.ClientController;91,0;0,0;0,533333333333;0,571428571429;2,0;None;0,0;0,638095238095;0,866666666667;21,0;1;LongParameterList
public class;br.com.meyer.controller.ContractController;128,0;0,0;0,5;0,535714285714;2,0;None;0,0;1,0;0,866666666667;33,0;5;ComplexClass,FeatureEnvy,LongParameterList,LongMethod,IntensiveCoupling
public class;br.com.meyer.controller.DeviceController;264,0;0,0;0,75;0,772727272727;2,0;None;0,0;0,885918003565;0,941176470588;64,0;16;LongParameterList,LongMethod,IntensiveCoupling,ComplexClass,FeatureEnvy,SpaghettiCode,MessageChain
public class;br.com.meyer.controller.ModelController;76,0;0,0;0,458333333333;0,5;0,0;None;0,0;1,0;1,0;16,0;1;LongParameterList
public class;br.com.meyer.controller.UserController;86,0;0,0;0,5;0,538461538462;0,0;None;0,0;1,0;1,0;16,0;0;
public class;br.com.meyer.exceptions.client.ClientDontHaveContractException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.client.ClientException;3,0;0,0;1,0;0,0;0,0;0,333333333333;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.client.ClientNotFoundException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.client.ClientStatusException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.client.ExistingClientException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.contract.ContractException;5,0;0,0;1,0;2,0;0,0;0,333333333333;0,0;0,0;1,0;2,0;0;
public class;br.com.meyer.exceptions.contract.ContractNotFoundException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.contract.ContractStatusException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.contract.ContractWithoutModelException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.contract.ExistingContractException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.contract.MultipleContractsException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.CounterValueException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DeviceDontHaveContractException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DeviceException;5,0;0,0;1,0;2,0;0,0;0,333333333333;0,0;0,0;1,0;2,0;0;
public class;br.com.meyer.exceptions.device.DeviceMergeException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DeviceNotFoundException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DeviceRepeatedException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DeviceReservationException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DeviceUsedException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.DuplicatedCounterException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.EmptySerialException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.InsufficientNumberOfDevicesByModelException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.exceptions.device.StatusNotFoundException;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0;
