kind;class;element;ChangingClasses;ChangingMethods;CouplingDispersion;CouplingIntensity;CyclomaticComplexity;MaxCallChain;MaxNesting;MethodLinesOfCode;NumberOfAccessedVariables;ParameterCount;smells_count;smells
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.inserirAviso;0,0;0,0;0,5;2,0;2,0;1,0;1,0;3,0;5,0;4,0;1;LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorTempoMaximo;1,0;1,0;0,571428571429;7,0;2,0;2,0;1,0;7,0;6,0;1,0;2;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorLimiteDeTrancamentos;1,0;1,0;0,75;4,0;2,0;2,0;1,0;5,0;4,0;1,0;2;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorCoeficiente;1,0;1,0;0,571428571429;7,0;6,0;2,0;2,0;21,0;10,0;1,0;2;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorBloqueio;1,0;1,0;0,666666666667;6,0;3,0;2,0;1,0;10,0;8,0;1,0;3;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.verificarCondicoesDesligamento;1,0;1,0;0,375;8,0;6,0;1,0;2,0;12,0;4,0;1,0;3;FeatureEnvy,LongParameterList
public method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.gerarAvisos;1,0;1,0;0,666666666667;12,0;5,0;3,0;3,0;21,0;12,0;1,0;5;FeatureEnvy,LongParameterList,DispersedCoupling
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.imprimirDuracaoEQuantidadeProcessada;1,0;1,0;0,0;0,0;1,0;1,0;0,0;7,0;7,0;2,0;5;FeatureEnvy,LongParameterList,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;16,0;7,0;1,0;5;FeatureEnvy,LongParameterList,DispersedCoupling
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1,0;1,0;0,454545454545;22,0;8,0;3,0;4,0;55,0;17,0;1,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.filtrarAlunosQueIngressaramPosteriormente;1,0;1,0;1,0;2,0;4,0;2,0;2,0;8,0;5,0;2,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.filtrarAlunosSemTrancamentoNoPeriodo;1,0;1,0;1,0;1,0;4,0;1,0;2,0;8,0;6,0;2,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
public static method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;18,0;7,0;1,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAluno;1,0;1,0;0,405405405405;37,0;4,0;4,0;2,0;37,0;23,0;1,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAlunosVersaoCurso;1,0;1,0;1,0;4,0;4,0;3,0;2,0;13,0;7,0;1,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
