kind;class;element;ChangingClasses;ChangingMethods;CouplingDispersion;CouplingIntensity;CyclomaticComplexity;MaxCallChain;MaxNesting;MethodLinesOfCode;NumberOfAccessedVariables;ParameterCount;smell;reason
public method;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest.testCadastrarNovaTurmaParaNovaOfertaComDadosValido;0;0;0,13559322;118;1;4;0;135;29;0;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 5
public method;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest.testCadastrarNovaTurmaParaNovaOfertaComDadosValido;0;0;0,13559322;118;1;4;0;135;29;0;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest.testCadastrarNovaTurmaParaNovaOfertaComDadosValido;0;0;0,13559322;118;1;4;0;135;29;0;MessageChain;MAX_CALL_CHAIN = 4.0
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.inserirAviso;0;0;0,5;2;2;1;1;3;5;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorTempoMaximo;1;1;0,571428571;7;2;2;1;7;6;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 4
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorBloqueio;1;1;0,666666667;6;3;2;1;10;8;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 4
public method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.gerarAvisos;1;1;0,666666667;12;5;3;3;21;12;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 4
public method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.gerarAvisos;1;1;0,666666667;12;5;3;3;21;12;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1;1;0,454545455;22;8;3;4;55;17;1;FeatureEnvy;CALLS_TO_br.ufal.academico.service.MatriculaInstitucionalService > 5
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1;1;0,454545455;22;8;3;4;55;17;1;LongMethod;MLOC > 4.811927772126122
